Job Desc,Profile,Count,Matching title,Not matching title,Matching languages,Not matching languages,Matching Skills,Not matching Skills,Matching duration,Not matching duration,Matching work regime,Not matching work regime,Matching location,Not matching location,Matching industry,Not matching industry,Matching daily rate,Not matching daily rate,Matching company size,Not matching company size,Matching tech objectives,Not matching tech objectives,Matching availability,Not matching availability,Matching mission constraint,Not matching mision constraint
 ,Profile 23,14,Data Engineer, ,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 ,293 days, ,Full-time, , ,Hounslow 335.820229350477, ,Construction, ,850,Medium (50-250 employees), ,,big data django scala ,Availability, ,Time constraint, 
 ,Profile 9,13,Data Engineer, ,English ,Dutch,python 2 ,sql 3 aws 1 tableau 3 datavault 2.0 2 ,293 days, ,Full-time, , ,Liege 88.82904564655442, ,Construction, ,750,Medium (50-250 employees), ,,big data django scala , ,Availability, ,Time constraint
 ,Profile 5,13, ,Data Engineer,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days,Full-time, ,Antwerp 41.783475643454715, , ,Construction, ,800,Medium (50-250 employees), ,,big data django scala ,Availability, ,Time constraint, 
 ,Profile 48,13,Data Engineer, ,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days, ,Full-time,Charleroi 48.75007126589204, , ,Construction, ,750, ,Small (10 - 50 employees),,big data django scala ,Availability, ,Time constraint, 
 ,Profile 33,13, ,Data Engineer,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 ,293 days, , ,Full-time, ,Watford 342.3642921550709, ,Construction,500, , ,Small (10 - 50 employees),,big data django scala ,Availability, ,Time constraint, 
 ,Profile 3,13, ,Data Engineer,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 ,293 days, , ,Full-time, ,Liege 88.82904564655442, ,Construction, ,850,Medium (50-250 employees), ,big data ,django scala ,Availability, ,Time constraint, 
 ,Profile 27,13, ,Data Engineer,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days,Full-time, , ,Slough 352.51184858048117, ,Construction,600, ,Medium (50-250 employees), ,,big data django scala ,Availability, ,Time constraint, 
 ,Profile 2,13, ,Data Engineer,English ,Dutch,python 2 ,sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days,Full-time, ,Brussels 0.0, , ,Construction,600, , ,Micro (1-10 employees),,big data django scala , ,Availability, ,Time constraint
 ,Profile 17,13, ,Data Engineer,English ,Dutch,python 2 ,sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days,Full-time, ,Ghent 49.58272246277489, , ,Construction, ,950, ,Micro (1-10 employees),big data ,django scala , ,Availability, ,Time constraint
 ,Profile 14,13, ,Data Engineer,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days,Full-time, ,Brussels 0.0, , ,Construction, ,650,Medium (50-250 employees), ,,big data django scala ,Availability, ,Time constraint, 
 ,Profile 10,13,Data Engineer, ,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days, ,Full-time,Brugge 88.37056774186073, , ,Construction, ,950,Medium (50-250 employees), ,,big data django scala ,Availability, ,Time constraint, 
 ,Profile 6,12, ,Data Engineer,English ,Dutch,aws 1 ,python 2 sql 3 tableau 3 datavault 2.0 2 ,293 days, , ,Full-time, ,Brugge 88.37056774186073,Construction, , ,700, ,Small (10 - 50 employees),,big data django scala , ,Availability, ,Time constraint
 ,Profile 40,12, ,Data Engineer,English ,Dutch,tableau 3 ,python 2 sql 3 aws 1 datavault 2.0 2 , ,293 days,Full-time, ,Brussels 0.0, , ,Construction, ,650,Medium (50-250 employees), ,,big data django scala , ,Availability, ,Time constraint
 ,Profile 36,12, ,Data Engineer,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days, ,Full-time, ,Chertsey 5518.160499855742, ,Construction,550, ,Medium (50-250 employees), ,,big data django scala ,Availability, ,Time constraint, 
 ,Profile 35,12,Data Engineer, ,English ,Dutch,sql 3 ,python 2 aws 1 tableau 3 datavault 2.0 2 , ,293 days, ,Full-time,Namur 55.68722476474406, , ,Construction, ,800, ,Small (10 - 50 employees),,big data django scala , ,Availability, ,Time constraint
 ,Profile 26,12,Data Engineer, ,English ,Dutch,python 2 ,sql 3 aws 1 tableau 3 datavault 2.0 2 ,293 days, , ,Full-time, ,Chertsey 5518.160499855742, ,Construction, ,950, ,Small (10 - 50 employees),,big data django scala , ,Availability, ,Time constraint
 ,Profile 13,12, ,Data Engineer,English ,Dutch,aws 1 ,python 2 sql 3 tableau 3 datavault 2.0 2 , ,293 days,Full-time, , ,Canary Wharf 313.307677231423, ,Construction, ,1000,Medium (50-250 employees), ,scala ,big data django , ,Availability, ,Time constraint
 ,Profile 12,12,Data Engineer, ,English ,Dutch,python 2 ,sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days,Full-time, , ,Namur 55.68722476474406, ,Construction, ,700, ,Large (250+ employees),,big data django scala , ,Availability, ,Time constraint
 ,Profile 50,11, ,Data Engineer,English ,Dutch,aws 1 ,python 2 sql 3 tableau 3 datavault 2.0 2 , ,293 days,Full-time, , ,Cheshunt 319.48237729476136, ,Construction, ,900,Medium (50-250 employees), ,,big data django scala , ,Availability, ,Time constraint
 ,Profile 29,11,Data Engineer, ,English ,Dutch,python 2 ,sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days, ,Full-time, ,Hatfield 334.0827413527899, ,Construction, ,900, ,Small (10 - 50 employees),,big data django scala , ,Availability, ,Time constraint
 ,Profile 45,10, ,Data Engineer,English ,Dutch,tableau 3 ,python 2 sql 3 aws 1 datavault 2.0 2 , ,293 days, ,Full-time, ,Harlow 312.9002502814258, ,Construction, ,750, ,Large (250+ employees),,big data django scala , ,Availability, ,Time constraint
 ,Profile 4,10, ,Data Engineer,English ,Dutch,python 2 ,sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days, ,Full-time, ,Woking 346.79643111728603, ,Construction, ,700, ,Large (250+ employees),,big data django scala , ,Availability, ,Time constraint
 ,Profile 19,10,Data Engineer, ,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 ,293 days, ,Full-time, ,Charleroi 48.75007126589204, ,Construction, , ,1000, ,Micro (1-10 employees),,big data django scala , ,Availability, ,Time constraint
 ,Profile 49,9,Data Engineer, ,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 ,293 days, ,Full-time, , ,Hemel Hempstead 350.08929750856265, ,Construction, ,650, ,Small (10 - 50 employees),django ,big data scala , ,Availability, ,Time constraint
 ,Profile 7,8, ,Data Engineer,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 ,293 days, , ,Full-time, ,Liege 88.82904564655442,Construction, ,550, ,Medium (50-250 employees), ,,big data django scala , ,Availability, ,Time constraint
 ,Profile 34,7, ,Data Engineer,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 ,293 days, , ,Full-time, ,Watford 342.3642921550709, ,Construction, ,950, ,Large (250+ employees),scala ,big data django , ,Availability, ,Time constraint
 ,Profile 32,7, ,Data Engineer,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 ,293 days, , ,Full-time, ,Brentford 333.4682288633024, ,Construction,500, , ,Large (250+ employees),,big data django scala , ,Availability, ,Time constraint
 ,Profile 30,7,Data Engineer, ,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days, ,Full-time,Charleroi 48.75007126589204, , ,Construction, ,750, ,Micro (1-10 employees),,big data django scala , ,Availability, ,Time constraint
 ,Profile 21,7,Data Engineer, ,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days, ,Full-time, ,Hounslow 335.820229350477, ,Construction, ,700, ,Micro (1-10 employees),scala ,big data django , ,Availability, ,Time constraint
 ,Profile 16,7, ,Data Engineer,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days,Full-time, , ,Harlow 312.9002502814258, ,Construction,500, , ,Small (10 - 50 employees),,big data django scala , ,Availability, ,Time constraint
 ,Profile 8,6, ,Data Engineer,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days,Full-time, , ,Harlow 312.9002502814258, ,Construction, ,950,Medium (50-250 employees), ,,big data django scala , ,Availability, ,Time constraint
 ,Profile 47,6, ,Data Engineer,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days,Full-time, , ,Dartford 295.86977031597957, ,Construction, ,700, ,Micro (1-10 employees),,big data django scala , ,Availability, ,Time constraint
 ,Profile 42,6, ,Data Engineer,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days,Full-time, , ,Brentford 333.4682288633024, ,Construction, ,650, ,Large (250+ employees),,big data django scala , ,Availability, ,Time constraint
 ,Profile 38,6, ,Data Engineer,English ,Dutch,,python 2 sql 3 aws 1 tableau 3 datavault 2.0 2 , ,293 days, ,Full-time, ,City of Westminster 321.152354524155, ,Construction,600, , ,Micro (1-10 employees),,big data django scala , ,Availability, ,Time constraint
Job desc 2,Profile 28,26,Business Analyst, ,English ,Thai,python 3 data warehousing 3 ,spark 2 java 5 hadoop 4 , ,67 days,Part-time, ,Remote, ,Recreation, ,750, , ,Large (250+ employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 24,26,Business Analyst, ,English ,Thai,spark 2 java 5 ,python 3 data warehousing 3 hadoop 4 ,67 days, ,Part-time, ,Remote, , ,Recreation,850, ,Medium (50-250 employees), ,,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 20,21,Business Analyst, ,English ,Thai,python 3 ,spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days,Part-time, ,Remote, , ,Recreation,850, , ,Large (250+ employees),python ,datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 1,21, ,Business Analyst,English ,Thai,python 3 ,spark 2 java 5 data warehousing 3 hadoop 4 ,67 days, , ,Part-time,Remote, , ,Recreation,600, , ,Large (250+ employees),python datavault 2.0 ,talend ,Availability, ,Budget constraint, 
 ,Profile 37,20, ,Business Analyst,English ,Thai,python 3 ,spark 2 java 5 data warehousing 3 hadoop 4 ,67 days, ,Part-time, ,Remote, , ,Recreation,650, ,Medium (50-250 employees), ,,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 29,20, ,Business Analyst,English ,Thai,python 3 ,spark 2 java 5 data warehousing 3 hadoop 4 ,67 days, ,Part-time, ,Remote, , ,Recreation,900, , ,Small (10 - 50 employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 17,20,Business Analyst, ,English ,Thai,python 3 ,spark 2 java 5 data warehousing 3 hadoop 4 ,67 days, , ,Part-time,Remote, , ,Recreation,950, , ,Micro (1-10 employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 15,20,Business Analyst, ,English ,Thai,python 3 ,spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days,Part-time, ,Remote, , ,Recreation,550, , ,Large (250+ employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 13,20, ,Business Analyst,English ,Thai,spark 2 ,python 3 java 5 data warehousing 3 hadoop 4 ,67 days, , ,Part-time,Remote, ,Recreation, ,1000, ,Medium (50-250 employees), ,,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 9,19, ,Business Analyst,English ,Thai,python 3 ,spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,750, ,Medium (50-250 employees), ,python ,datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 42,19, ,Business Analyst,English ,Thai,hadoop 4 ,python 3 spark 2 java 5 data warehousing 3 ,67 days, , ,Part-time,Remote, , ,Recreation,650, , ,Large (250+ employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 41,19,Business Analyst, ,English ,Thai,python 3 ,spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,950, , ,Small (10 - 50 employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 4,19, ,Business Analyst,English ,Thai,python 3 ,spark 2 java 5 data warehousing 3 hadoop 4 ,67 days, ,Part-time, ,Remote, , ,Recreation,700, , ,Large (250+ employees),,python datavault 2.0 talend , ,Availability,Budget constraint, 
 ,Profile 33,19, ,Business Analyst,English ,Thai,hadoop 4 ,python 3 spark 2 java 5 data warehousing 3 , ,67 days,Part-time, ,Remote, , ,Recreation,500, , ,Small (10 - 50 employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 26,19, ,Business Analyst,English ,Thai,python 3 ,spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days,Part-time, ,Remote, , ,Recreation,950, , ,Small (10 - 50 employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 21,19,Business Analyst, ,English ,Thai,data warehousing 3 ,python 3 spark 2 java 5 hadoop 4 , ,67 days,Part-time, ,Remote, , ,Recreation,700, , ,Micro (1-10 employees),,python datavault 2.0 talend , ,Availability,Budget constraint, 
 ,Profile 11,19,Business Analyst, ,English ,Thai,python 3 ,spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,850, ,Medium (50-250 employees), ,,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 46,18,Business Analyst, ,English ,Thai,python 3 ,spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,950, , ,Small (10 - 50 employees),,python datavault 2.0 talend , ,Availability,Budget constraint, 
 ,Profile 43,18, ,Business Analyst,English ,Thai,python 3 ,spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,850, , ,Small (10 - 50 employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 39,18, ,Business Analyst,English ,Thai,python 3 ,spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,650, ,Medium (50-250 employees), ,,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 12,18, ,Business Analyst,English ,Thai,python 3 ,spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,700, , ,Large (250+ employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 8,17, ,Business Analyst,English ,Thai,data warehousing 3 ,python 3 spark 2 java 5 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,950, ,Medium (50-250 employees), ,,python datavault 2.0 talend , ,Availability,Budget constraint, 
 ,Profile 36,17,Business Analyst, ,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 ,67 days, ,Part-time, ,Remote, , ,Recreation,550, ,Medium (50-250 employees), ,python ,datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 2,17, ,Business Analyst,English ,Thai,python 3 ,spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,600, , ,Micro (1-10 employees),,python datavault 2.0 talend , ,Availability,Budget constraint, 
 ,Profile 44,16,Business Analyst, ,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days,Part-time, ,Remote, , ,Recreation,800, , ,Large (250+ employees),python ,datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 30,16,Business Analyst, ,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days,Part-time, ,Remote, , ,Recreation,750, , ,Micro (1-10 employees),python ,datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 7,15,Business Analyst, ,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days,Part-time, ,Remote, , ,Recreation,550, ,Medium (50-250 employees), ,,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 35,15, ,Business Analyst,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 ,67 days, ,Part-time, ,Remote, , ,Recreation,800, , ,Small (10 - 50 employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 34,15,Business Analyst, ,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days,Part-time, ,Remote, , ,Recreation,950, , ,Large (250+ employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 31,15, ,Business Analyst,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,600, , ,Micro (1-10 employees),python talend ,datavault 2.0 ,Availability, ,Budget constraint, 
 ,Profile 18,15, ,Business Analyst,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 ,67 days, ,Part-time, ,Remote, , ,Recreation,750, ,Medium (50-250 employees), ,,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 14,15,Business Analyst, ,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 ,67 days, , ,Part-time,Remote, , ,Recreation,650, ,Medium (50-250 employees), ,,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 10,15, ,Business Analyst,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 ,67 days, ,Part-time, ,Remote, , ,Recreation,950, ,Medium (50-250 employees), ,,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 6,14, ,Business Analyst,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days,Part-time, ,Remote, , ,Recreation,700, , ,Small (10 - 50 employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 48,14, ,Business Analyst,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days,Part-time, ,Remote, , ,Recreation,750, , ,Small (10 - 50 employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 45,14,Business Analyst, ,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days,Part-time, ,Remote, , ,Recreation,750, , ,Large (250+ employees),,python datavault 2.0 talend , ,Availability,Budget constraint, 
 ,Profile 38,14, ,Business Analyst,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 ,67 days, ,Part-time, ,Remote, , ,Recreation,600, , ,Micro (1-10 employees),,python datavault 2.0 talend , ,Availability,Budget constraint, 
 ,Profile 32,14, ,Business Analyst,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days,Part-time, ,Remote, , ,Recreation,500, , ,Large (250+ employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 3,14, ,Business Analyst,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days,Part-time, ,Remote, , ,Recreation,850, ,Medium (50-250 employees), ,,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 27,14, ,Business Analyst,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 ,67 days, , ,Part-time,Remote, , ,Recreation,600, ,Medium (50-250 employees), ,,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 25,14,Business Analyst, ,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,650, ,Medium (50-250 employees), ,,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 19,14, ,Business Analyst,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, ,Recreation, ,1000, , ,Micro (1-10 employees),python ,datavault 2.0 talend , ,Availability,Budget constraint, 
 ,Profile 16,14,Business Analyst, ,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,500, , ,Small (10 - 50 employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 50,13,Business Analyst, ,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,900, ,Medium (50-250 employees), ,,python datavault 2.0 talend , ,Availability,Budget constraint, 
 ,Profile 5,13, ,Business Analyst,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,800, ,Medium (50-250 employees), ,,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 49,13, ,Business Analyst,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,650, , ,Small (10 - 50 employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 47,13, ,Business Analyst,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,700, , ,Micro (1-10 employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 40,13,Business Analyst, ,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,650, ,Medium (50-250 employees), ,,python datavault 2.0 talend , ,Availability,Budget constraint, 
 ,Profile 23,13, ,Business Analyst,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,850, ,Medium (50-250 employees), ,,python datavault 2.0 talend ,Availability, ,Budget constraint, 
 ,Profile 22,13, ,Business Analyst,English ,Thai,,python 3 spark 2 java 5 data warehousing 3 hadoop 4 , ,67 days, ,Part-time,Remote, , ,Recreation,550, , ,Micro (1-10 employees),,python datavault 2.0 talend ,Availability, ,Budget constraint, 
Job desc 3,Profile 47,17, ,Machine learning Engineer,English ,Azerbaijani,mongodb 3 r 2 ,java script 2 sas 3 hadoop 4 , ,241 days, ,Part-time,Remote, , ,Government,700, ,Micro (1-10 employees), ,,data modelling c artificial intelligence , ,Availability, ,Expertise constraint
 ,Profile 33,16, ,Machine learning Engineer,English ,Azerbaijani,hadoop 4 ,java script 2 mongodb 3 r 2 sas 3 ,241 days, ,Part-time, ,Remote, , ,Government,500, , ,Small (10 - 50 employees),data modelling ,c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 20,16,Machine learning Engineer, ,English ,Azerbaijani,mongodb 3 ,java script 2 r 2 sas 3 hadoop 4 ,241 days, ,Part-time, ,Remote, , ,Government,850, , ,Large (250+ employees),,data modelling c artificial intelligence ,Availability, , ,Expertise constraint
 ,Profile 11,16, ,Machine learning Engineer,English ,Azerbaijani,java script 2 ,mongodb 3 r 2 sas 3 hadoop 4 ,241 days, , ,Part-time,Remote, , ,Government,850, , ,Medium (50-250 employees),c artificial intelligence ,data modelling ,Availability, , ,Expertise constraint
